Annual_Income,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outstanding_Debt,Total_EMI_per_month,Credit_History_Age_Months,Credit_Score_Encoded,Credit_Mix_Encoded,Total_Num_Accounts,Debt_Per_Account,Debt_to_Income_Ratio,Delayed_Payments_Per_Account
88640.24,3,6,1,2,4,2,3.51,3,950.36,135.173370971718,308,2,3,9,105.595555555556,0.0107215413676678,0.222222222222222
88640.24,3,6,1,2,4,2,3.51,3,950.36,135.173370971718,309,3,3,9,105.595555555556,0.0107215413676678,0.222222222222222
88640.24,3,6,1,2,4,0,3.51,3,950.36,135.173370971718,310,3,3,9,105.595555555556,0.0107215413676678,0
54392.16,6,4,14,3,10,8,5.54,3,179.22,124.39208242092,322,2,2,10,17.922,0.00329496015602249,0.8
54392.16,6,4,14,3,10,10,4.54,3,179.22,124.39208242092,323,2,2,10,17.922,0.00329496015602249,1
54392.16,6,4,14,3,10,7,0.54,3,179.22,124.39208242092,325,2,2,10,17.922,0.00329496015602249,0.7
54392.16,6,4,14,3,10,8,11.54,3,179.22,124.39208242092,326,2,2,10,17.922,0.00329496015602249,0.8
54392.16,6,4,14,3,10,8,5.54,7,179.22,124.39208242092,328,2,2,10,17.922,0.00329496015602249,0.8
54392.16,6,4,14,3,10,8,5.54,7,179.22,124.39208242092,329,2,2,10,17.922,0.00329496015602249,0.8
25546.26,8,7,14,5,16,14,7.83,5,758.44,101.328637363851,218,2,2,15,50.5626666666667,0.0296888859660866,0.933333333333333
25546.26,8,7,14,5,16,10,7.83,5,758.44,101.328637363851,220,2,2,15,50.5626666666667,0.0296888859660866,0.666666666666667
25546.26,8,7,14,5,16,14,10.83,5,758.44,101.328637363851,224,2,2,15,50.5626666666667,0.0296888859660866,0.933333333333333
25546.26,8,7,14,5,15,13,7.83,5,758.44,101.328637363851,225,2,2,15,50.5626666666667,0.0296888859660866,0.866666666666667
31993.78,6,6,7,2,8,14,6.28,0,818.22,45.1412982246358,202,2,2,12,68.185,0.0255743460135064,1.16666666666667
31993.78,6,6,7,2,12,14,6.28,0,818.22,45.1412982246358,203,2,2,12,68.185,0.0255743460135064,1.16666666666667
31993.78,6,6,7,2,8,14,6.28,1,818.22,45.1412982246358,206,2,2,12,68.185,0.0255743460135064,1.16666666666667
31993.78,6,6,7,2,8,14,6.28,1,818.22,45.1412982246358,207,2,2,12,68.185,0.0255743460135064,1.16666666666667
31993.78,6,6,7,2,8,16,6.28,1,818.22,45.1412982246358,209,2,2,12,68.185,0.0255743460135064,1.33333333333333
92047.08,6,7,16,0,16,11,9.13,4,1296.64,0,351,2,2,13,99.7415384615385,0.014086704325656,0.846153846153846
92047.08,6,7,16,0,16,11,9.13,4,1296.64,0,0,1,2,13,99.7415384615385,0.014086704325656,0.846153846153846
92047.08,6,7,16,0,16,8,9.13,4,1296.64,0,354,1,2,13,99.7415384615385,0.014086704325656,0.615384615384615
92047.08,6,7,16,0,16,13,13.13,4,1296.64,0,0,1,2,13,99.7415384615385,0.014086704325656,1
92047.08,6,7,16,0,16,11,9.13,4,1296.64,0,357,1,2,13,99.7415384615385,0.014086704325656,0.846153846153846
32284.62,6,7,17,6,11,12,9.22,8,1283.37,103.037560355366,77,2,2,13,98.7207692307692,0.0397517455680135,0.923076923076923
32284.62,6,7,17,6,11,12,9.22,8,1283.37,103.037560355366,78,2,2,13,98.7207692307692,0.0397517455680135,0.923076923076923
32284.62,6,7,17,6,10,12,9.22,8,1283.37,103.037560355366,79,2,2,13,98.7207692307692,0.0397517455680135,0.923076923076923
32284.62,6,7,17,6,11,12,9.22,8,1283.37,103.037560355366,80,2,2,13,98.7207692307692,0.0397517455680135,0.923076923076923
32284.62,6,7,17,6,11,12,8.22,10,1283.37,103.037560355366,82,2,2,13,98.7207692307692,0.0397517455680135,0.923076923076923
32284.62,6,7,17,6,13,12,2.22,10,1283.37,103.037560355366,84,2,2,13,98.7207692307692,0.0397517455680135,0.923076923076923
97791.42,6,6,12,0,18,8,17.92,1,107.41,0,326,2,2,12,8.95083333333333,0.00109835811771626,0.666666666666667
19514.88,7,5,17,0,30,12,4.17,2,881.4,0,233,2,2,12,73.45,0.0451655352223534,1
19514.88,7,5,17,0,30,15,4.17,2,881.4,0,237,1,2,12,73.45,0.0451655352223534,1.25
12600.445,5,5,10,3,25,16,15.79,7,569.8,26.060347529206,149,2,2,10,56.98,0.0452206251445882,1.6
12600.445,5,5,10,3,20,19,15.79,7,569.8,26.060347529206,151,1,2,10,56.98,0.0452206251445882,1.9
12600.445,5,5,10,3,25,19,15.79,7,569.8,26.060347529206,152,1,2,10,56.98,0.0452206251445882,1.9
12600.445,5,5,10,3,25,20,21.79,7,569.8,26.060347529206,0,1,2,10,56.98,0.0452206251445882,2
12600.445,5,5,10,3,25,19,15.79,11,569.8,26.060347529206,154,1,2,10,56.98,0.0452206251445882,1.9
20787.69,8,6,14,3,22,14,1.13,3,614.6,42.2219926564322,214,2,2,14,43.9,0.0295655746261369,1
20787.69,8,6,14,3,22,12,1.13,3,614.6,42.2219926564322,217,2,2,14,43.9,0.0295655746261369,0.857142857142857
20787.69,8,6,14,3,23,14,1.13,3,614.6,42.2219926564322,0,2,2,14,43.9,0.0295655746261369,1
43070.24,3,3,18,1,11,8,8.97,4,1233.1,30.5760848231615,230,2,2,6,205.516666666667,0.0286299774507874,1.33333333333333
43070.24,3,3,18,1,13,8,14.97,4,1233.1,30.5760848231615,231,2,2,6,205.516666666667,0.0286299774507874,1.33333333333333
43070.24,3,3,18,1,15,8,12.97,4,1233.1,30.5760848231615,232,2,2,6,205.516666666667,0.0286299774507874,1.33333333333333
43070.24,3,3,18,1,10,8,8.97,8,1233.1,30.5760848231615,234,2,2,6,205.516666666667,0.0286299774507874,1.33333333333333
43070.24,3,3,18,1,8,8,4.97,8,1233.1,30.5760848231615,235,2,2,6,205.516666666667,0.0286299774507874,1.33333333333333
43070.24,3,3,18,1,11,8,8.97,8,1233.1,30.5760848231615,236,2,2,6,205.516666666667,0.0286299774507874,1.33333333333333
28572.39,6,3,15,3,25,12,4.89,2,400.07,69.6029204819901,367,2,2,9,44.4522222222222,0.0140019788334123,1.33333333333333
28572.39,6,3,15,3,25,13,4.89,2,400.07,69.6029204819901,0,2,2,9,44.4522222222222,0.0140019788334123,1.44444444444444
20186.02,1,5,1,2,4,3,6.83,4,413.32,29.5345837204961,221,3,3,6,68.8866666666667,0.0204755568457774,0.5
20186.02,1,5,1,2,5,6,6.83,4,413.32,29.5345837204961,0,2,3,6,68.8866666666667,0.0204755568457774,1
12986.745,4,3,10,2,29,17,11.8,7,1489.49,16.7193002277761,105,2,2,7,212.784285714286,0.11469309669205,2.42857142857143
12986.745,4,3,10,2,30,20,11.8,7,1489.49,16.7193002277761,106,2,2,7,212.784285714286,0.11469309669205,2.85714285714286
12986.745,4,3,10,2,30,18,16.8,7,1489.49,16.7193002277761,108,2,2,7,212.784285714286,0.11469309669205,2.57142857142857
12986.745,4,3,10,2,30,17,11.8,7,1489.49,16.7193002277761,109,2,2,7,212.784285714286,0.11469309669205,2.42857142857143
12986.745,4,3,10,2,28,17,11.8,7,1489.49,16.7193002277761,111,2,2,7,212.784285714286,0.11469309669205,2.42857142857143
58317,8,5,9,6,18,20,16.58,6,98.97,149.897199421008,158,2,2,13,7.61307692307692,0.00169710376048151,1.53846153846154
58317,8,5,9,6,18,20,21.58,10,98.97,149.897199421008,163,2,2,13,7.61307692307692,0.00169710376048151,1.53846153846154
42171.98,2,7,10,3,4,10,9.58,4,556.91,102.76291311709,257,2,3,9,61.8788888888889,0.0132056877576059,1.11111111111111
42171.98,2,7,10,3,4,8,2.58,4,556.91,102.76291311709,258,2,3,9,61.8788888888889,0.0132056877576059,0.888888888888889
42171.98,2,7,10,3,2,10,2.58,4,556.91,102.76291311709,260,3,3,9,61.8788888888889,0.0132056877576059,1.11111111111111
42171.98,2,7,10,3,4,10,2.58,4,556.91,102.76291311709,0,3,3,9,61.8788888888889,0.0132056877576059,1.11111111111111
42171.98,2,7,10,3,4,10,2.58,4,556.91,102.76291311709,264,2,3,9,61.8788888888889,0.0132056877576059,1.11111111111111
71681.4,3,6,15,1,8,6,10.44,0,1293.02,53.9235139716527,308,2,2,9,143.668888888889,0.0180384311690341,0.666666666666667
71681.4,3,6,15,1,8,10,10.44,0,1293.02,53.9235139716527,309,2,2,9,143.668888888889,0.0180384311690341,1.11111111111111
71681.4,3,6,15,1,4,8,10.44,0,1293.02,53.9235139716527,310,3,2,9,143.668888888889,0.0180384311690341,0.888888888888889
71681.4,3,6,15,1,5,6,10.44,0,1293.02,53.9235139716527,312,3,2,9,143.668888888889,0.0180384311690341,0.666666666666667
71681.4,3,6,15,1,8,8,10.44,0,1293.02,53.9235139716527,314,3,2,9,143.668888888889,0.0180384311690341,0.888888888888889
66567.32,5,7,5,2,7,12,5.67,0,233.79,100.189360890861,293,2,2,12,19.4825,0.00351208370714038,1
66567.32,5,7,5,2,7,15,5.67,0,233.79,100.189360890861,296,2,2,12,19.4825,0.00351208370714038,1.25
66567.32,5,7,5,2,7,15,5.67,0,233.79,100.189360890861,297,2,2,12,19.4825,0.00351208370714038,1.25
12909.895,5,5,13,0,22,14,7.58,1,602.5,0,205,2,2,10,60.25,0.0466696282192845,1.4
12909.895,5,5,13,0,22,14,7.58,1,602.5,0,206,2,2,10,60.25,0.0466696282192845,1.4
12909.895,5,5,13,0,20,14,7.58,1,602.5,0,207,2,2,10,60.25,0.0466696282192845,1.4
12909.895,5,5,13,0,22,15,7.58,1,602.5,0,208,2,2,10,60.25,0.0466696282192845,1.5
12909.895,5,5,13,0,22,16,7.58,3,602.5,0,211,2,2,10,60.25,0.0466696282192845,1.6
20574.47,6,3,14,4,6,10,13.74,6,749.95,49.3486663214987,132,2,2,9,83.3277777777778,0.036450513670583,1.11111111111111
20574.47,6,3,14,4,6,10,6.74,11,749.95,49.3486663214987,136,2,2,9,83.3277777777778,0.036450513670583,1.11111111111111
20574.47,6,3,14,4,1,7,13.74,11,749.95,49.3486663214987,137,2,2,9,83.3277777777778,0.036450513670583,0.777777777777778
85554.03,4,2,3,0,12,7,6.43,3,1095.73,0,235,3,3,6,182.621666666667,0.0128074621382535,1.16666666666667
85554.03,4,2,3,0,12,7,6.43,3,1095.73,0,240,3,3,6,182.621666666667,0.0128074621382535,1.16666666666667
87215.68,2,6,8,2,2,5,10.98,0,680.77,121.682016736543,252,3,3,8,85.09625,0.00780559183853179,0.625
87215.68,2,6,8,2,2,5,10.98,0,680.77,121.682016736543,254,3,3,8,85.09625,0.00780559183853179,0.625
95956.5,8,4,11,2,23,10,11.94,2,1079.73,95.5216287821567,380,2,2,12,89.9775,0.0112522861921808,0.833333333333333
95956.5,8,4,11,2,22,13,11.94,2,1079.73,95.5216287821567,383,2,2,12,89.9775,0.0112522861921808,1.08333333333333
95956.5,8,4,11,2,23,10,11.94,2,1079.73,95.5216287821567,385,3,2,12,89.9775,0.0112522861921808,0.833333333333333
123732.32,4,3,11,0,15,8,11.92,3,1154.46,0,327,3,3,7,164.922857142857,0.00933030270506526,1.14285714285714
123732.32,4,3,11,0,15,8,12.92,3,1154.46,0,329,2,3,7,164.922857142857,0.00933030270506526,1.14285714285714
36822.29,8,7,6,4,14,19,5.79,4,125.25,95.8007129241996,297,2,2,15,8.35,0.0034014723147311,1.26666666666667
36822.29,8,7,6,4,14,19,5.79,5,125.25,95.8007129241996,299,3,2,15,8.35,0.0034014723147311,1.26666666666667
36822.29,8,7,6,4,15,19,5.79,5,125.25,95.8007129241996,303,3,2,15,8.35,0.0034014723147311,1.26666666666667
80108.31,5,3,17,0,25,16,14.22,1,997.28,0,213,2,2,8,124.66,0.0124491454132536,2
80108.31,5,3,17,0,25,19,14.22,4,997.28,0,217,2,2,8,124.66,0.0124491454132536,2.375
118248.6,5,1,4,0,13,10,3.69,4,191.09,0,205,3,3,6,31.8483333333333,0.00161600221905376,1.66666666666667
118248.6,5,1,4,0,13,7,3.69,4,191.09,0,208,3,3,6,31.8483333333333,0.00161600221905376,1.16666666666667
118248.6,5,1,4,0,13,10,3.69,8,191.09,0,209,2,3,6,31.8483333333333,0.00161600221905376,1.66666666666667
118248.6,5,1,4,0,18,13,3.69,8,191.09,0,212,3,3,6,31.8483333333333,0.00161600221905376,2.16666666666667
30390.44,5,6,5,4,19,23,8.36,4,580.31,64.8480382050181,292,2,2,11,52.7554545454546,0.0190951496589059,2.09090909090909
30390.44,5,6,5,4,19,18,8.36,4,580.31,64.8480382050181,293,2,2,11,52.7554545454546,0.0190951496589059,1.63636363636364
30390.44,5,6,5,4,19,17,8.36,4,580.31,64.8480382050181,294,2,2,11,52.7554545454546,0.0190951496589059,1.54545454545455
30390.44,5,6,5,4,16,20,8.36,4,580.31,64.8480382050181,296,2,2,11,52.7554545454546,0.0190951496589059,1.81818181818182
30390.44,5,6,5,4,19,20,8.36,4,580.31,64.8480382050181,0,2,2,11,52.7554545454546,0.0190951496589059,1.81818181818182
144546.72,0,3,7,2,15,8,12.08,1,1045.11,136.98855661879,0,2,3,3,348.37,0.00723025745585925,2.66666666666667
30346.35,5,4,14,7,27,9,18.8,5,523.56,96.7212802125692,100,2,2,9,58.1733333333333,0.017252816236549,1
30346.35,5,4,14,7,29,9,18.8,5,523.56,96.7212802125692,101,2,2,9,58.1733333333333,0.017252816236549,1
30346.35,5,4,14,7,29,6,18.8,5,523.56,96.7212802125692,107,2,2,9,58.1733333333333,0.017252816236549,0.666666666666667
18681.465,2,3,9,2,6,8,7.9,3,327.88,24.8214249786604,371,3,3,5,65.576,0.0175510860631112,1.6
18681.465,2,3,9,2,6,8,3.9,3,327.88,24.8214249786604,374,3,3,5,65.576,0.0175510860631112,1.6
18681.465,2,3,9,2,6,8,3.9,3,327.88,24.8214249786604,375,3,3,5,65.576,0.0175510860631112,1.6
18681.465,2,3,9,2,6,6,3.9,3,327.88,24.8214249786604,376,3,3,5,65.576,0.0175510860631112,1.2
72330.98,0,3,11,1,2,6,4.62,1,596.78,31.3797941584387,393,3,3,3,198.926666666667,0.00825068317890895,2
72330.98,0,3,11,1,1,6,0,1,596.78,31.3797941584387,394,3,3,3,198.926666666667,0.00825068317890895,2
72330.98,0,3,11,1,1,6,4.62,1,596.78,31.3797941584387,396,3,3,3,198.926666666667,0.00825068317890895,2
72330.98,0,3,11,1,1,6,4.62,1,596.78,31.3797941584387,399,3,3,3,198.926666666667,0.00825068317890895,2
34106.78,8,5,17,0,8,10,10.06,0,996.54,0,387,2,2,13,76.6569230769231,0.0292182375469042,0.769230769230769
34106.78,8,5,17,0,8,10,7.06,0,996.54,0,388,2,2,13,76.6569230769231,0.0292182375469042,0.769230769230769
34106.78,8,5,17,0,8,10,10.06,0,996.54,0,390,3,2,13,76.6569230769231,0.0292182375469042,0.769230769230769
17001.34,6,5,5,1,11,20,5.62,0,1093.87,10.5355556074613,0,2,2,11,99.4427272727273,0.064340222594219,1.81818181818182
17001.34,6,5,5,1,11,20,5.62,0,1093.87,10.5355556074613,208,2,2,11,99.4427272727273,0.064340222594219,1.81818181818182
17001.34,6,5,5,1,10,18,12.62,0,1093.87,10.5355556074613,209,1,2,11,99.4427272727273,0.064340222594219,1.63636363636364
17001.34,6,5,5,1,10,21,5.62,2,1093.87,10.5355556074613,212,2,2,11,99.4427272727273,0.064340222594219,1.90909090909091
17001.34,6,5,5,1,5,20,5.62,2,1093.87,10.5355556074613,213,2,2,11,99.4427272727273,0.064340222594219,1.81818181818182
17787.34,8,4,16,2,0,15,5.65,0,730.9,20.0636338843549,357,2,2,12,60.9083333333333,0.0410910231659146,1.25
17787.34,8,4,16,2,5,16,5.65,0,730.9,20.0636338843549,0,2,2,12,60.9083333333333,0.0410910231659146,1.33333333333333
17787.34,8,4,16,2,7,16,5.65,0,730.9,20.0636338843549,362,2,2,12,60.9083333333333,0.0410910231659146,1.33333333333333
17787.34,8,4,16,2,5,15,5.65,0,730.9,20.0636338843549,364,2,2,12,60.9083333333333,0.0410910231659146,1.25
103353.06,3,3,6,1,4,7,3.11,2,1374.56,64.0016856731089,309,2,3,6,229.093333333333,0.0132996546014216,1.16666666666667
103353.06,3,3,6,1,4,9,3.11,2,1374.56,64.0016856731089,310,3,3,6,229.093333333333,0.0132996546014216,1.5
103353.06,3,3,6,1,4,12,3.11,2,1374.56,64.0016856731089,314,3,3,6,229.093333333333,0.0132996546014216,2
31021.24,7,7,11,4,16,21,18.21,4,852.81,90.7591784649516,394,2,2,14,60.915,0.0274911641185201,1.5
31021.24,7,7,11,4,21,20,11.21,7,852.81,90.7591784649516,396,2,2,14,60.915,0.0274911641185201,1.42857142857143
31021.24,7,7,11,4,16,20,5.21,7,852.81,90.7591784649516,398,2,2,14,60.915,0.0274911641185201,1.42857142857143
31021.24,7,7,11,4,20,20,11.21,7,852.81,90.7591784649516,399,2,2,14,60.915,0.0274911641185201,1.42857142857143
31021.24,7,7,11,4,16,20,11.21,7,852.81,90.7591784649516,400,2,2,14,60.915,0.0274911641185201,1.42857142857143
134978.24,8,5,15,2,12,16,9.89,3,668.14,145.11182338766,315,2,2,13,51.3953846153846,0.00494998304911962,1.23076923076923
39800.12,7,5,12,3,17,18,18.53,4,660.69,58.4876573395096,215,2,2,12,55.0575,0.0166002012054235,1.5
39800.12,7,5,12,3,17,18,18.53,4,660.69,58.4876573395096,216,3,2,12,55.0575,0.0166002012054235,1.5
39800.12,7,5,12,3,17,20,18.53,4,660.69,58.4876573395096,217,2,2,12,55.0575,0.0166002012054235,1.66666666666667
39800.12,7,5,12,3,17,18,18.53,4,660.69,58.4876573395096,218,2,2,12,55.0575,0.0166002012054235,1.5
39800.12,7,5,12,3,17,20,11.53,4,660.69,58.4876573395096,220,2,2,12,55.0575,0.0166002012054235,1.66666666666667
15398.95,1,7,5,4,1,0,8.41,3,343.84,34.8139698562447,340,2,3,8,42.98,0.0223287951451235,0
15398.95,1,7,5,4,1,1,8.41,3,343.84,34.8139698562447,341,2,3,8,42.98,0.0223287951451235,0.125
15398.95,1,7,5,4,1,0,8.41,8,343.84,34.8139698562447,342,2,3,8,42.98,0.0223287951451235,0
15398.95,1,7,5,4,1,0,8.41,8,343.84,34.8139698562447,344,2,3,8,42.98,0.0223287951451235,0
15398.95,1,7,5,4,1,1,8.41,8,343.84,34.8139698562447,346,2,3,8,42.98,0.0223287951451235,0.125
27070.07,7,3,11,4,12,15,5.68,1,919.76,73.2333184793516,350,2,2,10,91.976,0.0339770085559439,1.5
27070.07,7,3,11,4,12,15,5.68,6,919.76,73.2333184793516,351,2,2,10,91.976,0.0339770085559439,1.5
27070.07,7,3,11,4,9,15,5.68,6,919.76,73.2333184793516,355,2,2,10,91.976,0.0339770085559439,1.5
27070.07,7,3,11,4,7,13,5.68,6,919.76,73.2333184793516,356,2,2,10,91.976,0.0339770085559439,1.3
17992.775,3,5,6,0,8,12,4.61,2,565.22,0,230,1,3,8,70.6525,0.0314137202293698,1.5
18305.25,2,1,4,0,14,11,5.27,2,363.51,0,0,3,3,3,121.17,0.0198582373909124,3.66666666666667
18305.25,2,1,4,0,11,12,5.27,2,363.51,0,243,3,3,3,121.17,0.0198582373909124,4
18305.25,2,1,4,0,14,8,5.27,3,363.51,0,245,3,3,3,121.17,0.0198582373909124,2.66666666666667
18305.25,2,1,4,0,14,9,5.27,3,363.51,0,247,3,3,3,121.17,0.0198582373909124,3
27865.26,4,3,6,1,22,18,19.05,5,635.59,17.6984433215617,364,2,2,7,90.7985714285714,0.0228094049723563,2.57142857142857
27865.26,4,3,6,1,27,18,19.05,5,635.59,17.6984433215617,0,2,2,7,90.7985714285714,0.0228094049723563,2.57142857142857
27865.26,4,3,6,1,22,18,19.05,5,635.59,17.6984433215617,366,2,2,7,90.7985714285714,0.0228094049723563,2.57142857142857
27865.26,4,3,6,1,22,18,12.05,5,635.59,17.6984433215617,368,2,2,7,90.7985714285714,0.0228094049723563,2.57142857142857
27865.26,4,3,6,1,22,16,19.05,5,635.59,17.6984433215617,0,1,2,7,90.7985714285714,0.0228094049723563,2.28571428571429
27865.26,4,3,6,1,22,18,19.05,5,635.59,17.6984433215617,371,1,2,7,90.7985714285714,0.0228094049723563,2.57142857142857
23404.86,6,5,7,0,14,17,15.82,5,35.54,0,343,2,2,11,3.23090909090909,0.00151848804051808,1.54545454545455
23404.86,6,5,7,0,8,20,15.82,5,35.54,0,0,2,2,11,3.23090909090909,0.00151848804051808,1.81818181818182
23404.86,6,5,7,0,12,17,15.82,5,35.54,0,347,2,2,11,3.23090909090909,0.00151848804051808,1.54545454545455
23404.86,6,5,7,0,12,16,15.82,5,35.54,0,348,2,2,11,3.23090909090909,0.00151848804051808,1.45454545454545
23404.86,6,5,7,0,12,20,21.82,5,35.54,0,0,2,2,11,3.23090909090909,0.00151848804051808,1.81818181818182
23404.86,6,5,7,0,12,17,0,5,35.54,0,350,2,2,11,3.23090909090909,0.00151848804051808,1.54545454545455
43758.34,5,6,12,2,9,2,4.18,1,1194.28,56.3114205134151,397,3,3,11,108.570909090909,0.0272926258171585,0.181818181818182
43758.34,5,6,12,2,13,2,4.18,1,1194.28,56.3114205134151,398,3,3,11,108.570909090909,0.0272926258171585,0.181818181818182
43758.34,5,6,12,2,13,0,0,2,1194.28,56.3114205134151,401,3,3,11,108.570909090909,0.0272926258171585,0
85328.73,3,4,11,1,12,18,6.83,2,585.05,68.4589661120162,0,3,3,7,83.5785714285714,0.00685642455946549,2.57142857142857
85328.73,3,4,11,1,12,14,1.83,2,585.05,68.4589661120162,384,3,3,7,83.5785714285714,0.00685642455946549,2
85328.73,3,4,11,1,12,17,1.83,2,585.05,68.4589661120162,385,3,3,7,83.5785714285714,0.00685642455946549,2.42857142857143
28665.76,7,3,5,1,14,10,11.32,0,1237.46,22.6881775799247,291,2,2,10,123.746,0.0431685746339884,1
28665.76,7,3,5,1,16,10,0.32,0,1237.46,22.6881775799247,292,2,2,10,123.746,0.0431685746339884,1
28665.76,7,3,5,1,16,11,4.32,0,1237.46,22.6881775799247,294,2,2,10,123.746,0.0431685746339884,1.1
28665.76,7,3,5,1,16,10,4.32,0,1237.46,22.6881775799247,296,2,2,10,123.746,0.0431685746339884,1
28665.76,7,3,5,1,16,12,4.32,0,1237.46,22.6881775799247,297,2,2,10,123.746,0.0431685746339884,1.2
66528.24,5,5,11,0,19,8,13.65,2,1460.8,0,269,2,2,10,146.08,0.0219575927455769,0.8
19403.405,1,7,3,3,13,11,3.9,2,339.11,39.2149144347618,197,2,3,8,42.38875,0.0174768294533872,1.375
19403.405,1,7,3,3,11,9,3.9,2,339.11,39.2149144347618,198,2,3,8,42.38875,0.0174768294533872,1.125
31122.79,7,5,12,0,28,20,9.75,2,358.6,0,273,2,2,12,29.8833333333333,0.0115221032561669,1.66666666666667
31122.79,7,5,12,0,28,20,9.75,2,358.6,0,274,2,2,12,29.8833333333333,0.0115221032561669,1.66666666666667
31122.79,7,5,12,0,28,20,9.75,2,358.6,0,275,2,2,12,29.8833333333333,0.0115221032561669,1.66666666666667
31122.79,7,5,12,0,28,21,2.75,4,358.6,0,0,2,2,12,29.8833333333333,0.0115221032561669,1.75
31122.79,7,5,12,0,28,20,9.75,4,358.6,0,277,2,2,12,29.8833333333333,0.0115221032561669,1.66666666666667
31122.79,7,5,12,0,23,18,9.75,4,358.6,0,278,2,2,12,29.8833333333333,0.0115221032561669,1.5
31122.79,7,5,12,0,28,19,9.75,4,358.6,0,279,2,2,12,29.8833333333333,0.0115221032561669,1.58333333333333
15015.4,5,5,9,1,25,11,5.04,1,330.17,11.6857345660728,261,1,3,10,33.017,0.0219887582082395,1.1
15015.4,5,5,9,1,27,8,5.04,1,330.17,11.6857345660728,266,2,3,10,33.017,0.0219887582082395,0.8
19777.05,5,3,3,3,19,3,5.95,1,186.16,29.0455333200721,259,1,3,8,23.27,0.00941293064435798,0.375
19777.05,5,3,3,3,19,3,11.95,1,186.16,29.0455333200721,0,2,3,8,23.27,0.00941293064435798,0.375
